id@title@content@regular price@height-product@load@rigidity-product@set-of-springs@size-product@image@categories
58@Sinti (Синти)@@10886@@@@@80x160@@
58@Sinti (Синти)@@11172@@@@@80x190@@
58@Sinti (Синти)@@11459@@@@@80x195@@
58@Sinti (Синти)@@10313@@@@@80x200@@
58@Sinti (Синти)@@12246@@@@@90x190@@
58@Sinti (Синти)@@12569@@@@@90x195@@
58@Sinti (Синти)@@12891@@@@@90x200@@
58@Sinti (Синти)@@13750@@@@@120x160@@
58@Sinti (Синти)@@16328@@@@@120x190@@
58@Sinti (Синти)@@16758@@@@@120x195@@
58@Sinti (Синти)@@17188@@@@@120x200@@
58@Sinti (Синти)@@16042@@@@@140x160@@
58@Sinti (Синти)@@19050@@@@@140x190@@
58@Sinti (Синти)@@19551@@@@@140x195@@
58@Sinti (Синти)@@20052@@@@@140x200@@
